Item_Type,Item_ID,Purchase_ID,Sales_ID,Qty,Price,Cost,Supplier_ID,Warehouse_ID,Order_Date,Delivery_Date,Inventory_Valuation,Transfer_ID,Work_Order_ID,Purchase_Order_Qty,Sales_Order_Qty,Adjustment_Qty,Stock_Level,Stock_Check_Date,Customer_ID,Customer_Type,Shipping_ID,Region,Currency,Discount,Tax
Clothing,3646,360529,694601,12,955.59,758.75,1419,147,2023-04-19 04:00:00,2023-05-20 04:00:00,43551.65,462340,646082,60,52,31,205,2023-06-17 04:00:00,55533,Retail,933397,Asia,GBP,19.32,0.04
Electronics,1266,256714,883680,11,233.68,567.11,1834,275,2023-04-19 05:00:00,2023-05-20 05:00:00,18079.71,625225,705870,44,56,-7,269,2023-06-17 05:00:00,31972,Wholesale,170245,Africa,GBP,3.46,6.61
Clothing,8434,365283,877313,54,66.24,188.83,3640,498,2023-04-19 06:00:00,2023-05-20 06:00:00,8466.96,155187,181131,44,30,7,794,2023-06-17 06:00:00,90726,Retail,545915,Europe,USD,38.33,12.75
Clothing,2022,701467,308040,83,554.55,698.52,860,144,2023-04-19 07:00:00,2023-05-20 07:00:00,43068.17,266538,702350,46,32,-50,591,2023-06-17 07:00:00,19993,Wholesale,971133,Europe,USD,48.09,14.03
Clothing,8947,380787,489430,70,269.29,368.46,1373,357,2023-04-19 08:00:00,2023-05-20 08:00:00,11517.5,728055,117343,56,70,35,831,2023-06-17 08:00:00,50734,Distributor,780150,North America,GBP,40.69,7.0
Furniture,3037,331626,890233,14,957.86,266.49,1586,413,2023-04-19 09:00:00,2023-05-20 09:00:00,12851.84,346456,177416,27,56,1,163,2023-06-17 09:00:00,67729,Retail,148686,North America,EUR,33.69,9.43
Food,9756,466569,434737,33,579.02,791.07,1217,265,2023-04-19 10:00:00,2023-05-20 10:00:00,5538.02,371313,614330,15,90,15,254,2023-06-17 10:00:00,88630,Distributor,854156,North America,USD,47.2,0.42
Toys,8778,160117,519727,77,966.16,776.74,3042,102,2023-04-19 11:00:00,2023-05-20 11:00:00,45605.89,112698,693709,83,74,43,834,2023-06-17 11:00:00,38631,Retail,411334,North America,USD,21.77,11.82
Toys,2059,259852,304118,26,787.72,778.61,754,317,2023-04-19 12:00:00,2023-05-20 12:00:00,17009.44,130132,375745,37,47,2,983,2023-06-17 12:00:00,74923,Wholesale,683460,Africa,USD,45.27,3.46
Furniture,2424,206485,960067,14,725.85,774.27,4334,468,2023-04-19 13:00:00,2023-05-20 13:00:00,9420.23,250703,795998,67,16,31,938,2023-06-17 13:00:00,58476,Retail,272839,Africa,USD,41.4,1.49
Clothing,5123,837563,180729,88,832.06,501.04,4856,286,2023-04-19 14:00:00,2023-05-20 14:00:00,47728.6,141556,131479,85,23,14,246,2023-06-17 14:00:00,55281,Wholesale,853189,Europe,EUR,31.09,0.71
Furniture,1219,160332,417377,48,608.84,557.14,1022,196,2023-04-19 15:00:00,2023-05-20 15:00:00,17440.5,105367,611471,77,74,-48,265,2023-06-17 15:00:00,43071,Wholesale,786979,Asia,EUR,43.06,9.98
Furniture,1405,654920,382155,65,21.01,854.23,3127,290,2023-04-19 16:00:00,2023-05-20 16:00:00,37626.81,519911,249210,34,47,23,267,2023-06-17 16:00:00,63559,Wholesale,798912,Europe,USD,8.19,6.49
Electronics,3318,793853,294035,46,398.54,120.76,915,449,2023-04-19 17:00:00,2023-05-20 17:00:00,12289.38,726907,908874,80,59,-3,932,2023-06-17 17:00:00,10209,Wholesale,670346,North America,EUR,11.26,12.48
Food,9983,803712,411044,55,226.83,726.6,3576,142,2023-04-19 18:00:00,2023-05-20 18:00:00,36614.46,457716,316284,47,82,-36,473,2023-06-17 18:00:00,86681,Distributor,608756,Asia,USD,15.06,0.99
Toys,6058,260480,619805,94,439.97,476.01,1417,359,2023-04-19 19:00:00,2023-05-20 19:00:00,12375.95,968167,376631,93,39,16,844,2023-06-17 19:00:00,76184,Wholesale,461653,North America,USD,15.96,2.72
Clothing,2309,711445,875427,74,475.84,880.67,705,270,2023-04-19 20:00:00,2023-05-20 20:00:00,32249.26,250107,177051,64,43,26,234,2023-06-17 20:00:00,66293,Distributor,573439,Europe,GBP,0.1,0.32
Toys,8621,309827,807054,74,136.55,577.11,2629,336,2023-04-19 21:00:00,2023-05-20 21:00:00,22602.29,716417,789857,53,35,11,760,2023-06-17 21:00:00,17610,Distributor,562071,Europe,EUR,16.18,13.58
Toys,5929,781299,180085,92,33.2,150.48,1590,288,2023-04-19 22:00:00,2023-05-20 22:00:00,40137.17,180750,432199,32,62,37,128,2023-06-17 22:00:00,79781,Retail,739999,North America,GBP,48.03,9.67
Food,9702,802240,500176,68,146.82,734.86,766,441,2023-04-19 23:00:00,2023-05-20 23:00:00,36783.32,837742,519023,68,26,-21,474,2023-06-17 23:00:00,76736,Wholesale,715844,North America,GBP,11.48,1.24
Toys,9683,865208,116583,78,858.85,607.04,2266,404,2023-04-20 00:00:00,2023-05-21 00:00:00,46838.8,553739,540578,81,95,-8,863,2023-06-18 00:00:00,33756,Retail,707811,Asia,EUR,4.81,4.68
Toys,2617,398987,754571,12,758.3,138.29,2263,119,2023-04-20 01:00:00,2023-05-21 01:00:00,19454.49,148362,147382,90,28,-19,240,2023-06-18 01:00:00,26444,Distributor,428323,Asia,USD,13.2,10.55
Furniture,2520,571530,958964,54,800.9,13.05,2009,440,2023-04-20 02:00:00,2023-05-21 02:00:00,37962.42,409412,754982,38,71,48,908,2023-06-18 02:00:00,16174,Retail,839815,North America,USD,16.97,0.91
Food,8892,138930,315175,64,283.54,491.56,652,272,2023-04-20 03:00:00,2023-05-21 03:00:00,48473.33,346388,806903,57,22,-16,409,2023-06-18 03:00:00,43392,Wholesale,859253,Africa,EUR,7.85,4.28
Electronics,2583,523086,376345,47,243.74,221.13,1053,244,2023-04-20 04:00:00,2023-05-21 04:00:00,17479.14,101242,613975,63,89,4,393,2023-06-18 04:00:00,82710,Wholesale,132457,Africa,JPY,42.29,11.26
Clothing,7704,468084,301651,37,47.0,781.18,3118,165,2023-04-20 05:00:00,2023-05-21 05:00:00,15210.21,171592,457831,35,53,-36,779,2023-06-18 05:00:00,38437,Retail,118644,Africa,GBP,1.18,8.88
Toys,8988,318729,946451,74,477.55,229.58,3176,325,2023-04-20 06:00:00,2023-05-21 06:00:00,38683.49,520505,761181,19,37,-17,390,2023-06-18 06:00:00,56301,Distributor,303825,Europe,USD,8.78,7.3
Clothing,7583,944535,906852,41,388.58,598.26,4296,380,2023-04-20 07:00:00,2023-05-21 07:00:00,22830.55,827627,796788,84,55,47,534,2023-06-18 07:00:00,39942,Distributor,559990,Asia,GBP,42.36,4.11
Electronics,2575,140770,612916,27,837.53,313.89,4342,226,2023-04-20 08:00:00,2023-05-21 08:00:00,20533.94,727902,719984,88,91,31,955,2023-06-18 08:00:00,67364,Retail,695057,Europe,GBP,6.79,5.55
Clothing,7935,736045,664890,42,685.05,318.53,1898,229,2023-04-20 09:00:00,2023-05-21 09:00:00,27735.01,866817,702360,91,85,48,283,2023-06-18 09:00:00,67006,Retail,831215,North America,GBP,45.6,3.29
Electronics,7176,130158,545861,76,152.84,167.72,2271,353,2023-04-20 10:00:00,2023-05-21 10:00:00,46841.01,473118,732218,77,90,-28,777,2023-06-18 10:00:00,61502,Retail,975997,Africa,EUR,26.64,8.0
Furniture,3613,713280,808484,86,987.28,454.94,3928,172,2023-04-20 11:00:00,2023-05-21 11:00:00,5108.66,704249,430109,78,92,-19,650,2023-06-18 11:00:00,33030,Retail,761394,Asia,GBP,15.2,2.46
Toys,4892,409545,200156,68,772.93,523.45,1556,247,2023-04-20 12:00:00,2023-05-21 12:00:00,23818.61,695256,935882,79,67,-1,768,2023-06-18 12:00:00,74321,Wholesale,793446,Asia,USD,5.72,10.16
Electronics,9653,609397,411175,29,723.04,525.01,1337,178,2023-04-20 13:00:00,2023-05-21 13:00:00,6396.91,490709,375672,19,45,-1,635,2023-06-18 13:00:00,97546,Wholesale,397468,North America,USD,39.77,10.23
Clothing,7733,603646,899061,36,224.45,771.67,3112,381,2023-04-20 14:00:00,2023-05-21 14:00:00,44295.72,623321,215448,28,48,32,858,2023-06-18 14:00:00,20076,Distributor,574930,North America,JPY,10.08,2.07
Toys,5431,932290,550947,57,906.11,588.85,3232,419,2023-04-20 15:00:00,2023-05-21 15:00:00,7698.36,204083,212934,85,28,42,582,2023-06-18 15:00:00,52816,Wholesale,808872,Asia,JPY,33.34,1.98
Furniture,9112,848470,128675,78,479.18,667.51,1466,468,2023-04-20 16:00:00,2023-05-21 16:00:00,5395.47,464199,553363,68,97,-11,445,2023-06-18 16:00:00,45804,Retail,650632,Europe,JPY,16.54,11.33
Toys,2381,277589,489796,12,304.68,294.49,2021,493,2023-04-20 17:00:00,2023-05-21 17:00:00,48223.97,569904,187390,33,46,-7,506,2023-06-18 17:00:00,40804,Distributor,752828,North America,JPY,22.41,9.19
Electronics,4515,971243,757022,45,658.29,381.51,3270,208,2023-04-20 18:00:00,2023-05-21 18:00:00,28603.8,622408,838473,89,74,-39,143,2023-06-18 18:00:00,83872,Wholesale,864598,North America,GBP,38.18,0.62
Furniture,5454,754258,442414,20,219.63,21.37,4296,223,2023-04-20 19:00:00,2023-05-21 19:00:00,41468.75,790752,362173,82,60,17,101,2023-06-18 19:00:00,73638,Retail,646884,Asia,EUR,14.92,8.73
Clothing,8769,865647,631877,45,908.49,75.8,1521,184,2023-04-20 20:00:00,2023-05-21 20:00:00,24042.58,137132,614217,86,57,-29,276,2023-06-18 20:00:00,29151,Wholesale,633457,Africa,GBP,10.63,5.82
Furniture,7489,106586,995386,23,855.8,349.68,3620,197,2023-04-20 21:00:00,2023-05-21 21:00:00,22346.45,690289,205443,27,29,-8,681,2023-06-18 21:00:00,94420,Distributor,532612,Africa,GBP,3.1,2.98
Furniture,9384,877671,542580,62,470.26,192.71,3585,471,2023-04-20 22:00:00,2023-05-21 22:00:00,45668.88,559251,101584,41,54,28,669,2023-06-18 22:00:00,79355,Retail,264644,Africa,GBP,45.93,1.58
Food,4534,906135,104655,86,198.75,732.6,4289,251,2023-04-20 23:00:00,2023-05-21 23:00:00,49503.76,883039,330229,28,35,34,823,2023-06-18 23:00:00,72511,Wholesale,766625,Europe,USD,42.08,1.24
Furniture,1755,847661,960717,34,501.54,610.46,3765,180,2023-04-21 00:00:00,2023-05-22 00:00:00,31308.06,197108,259374,47,48,-9,964,2023-06-19 00:00:00,33026,Wholesale,506632,Asia,JPY,29.88,9.83
Furniture,3525,700465,241869,21,157.65,873.42,3340,458,2023-04-21 01:00:00,2023-05-22 01:00:00,45991.23,953939,421366,30,12,48,469,2023-06-19 01:00:00,91932,Retail,539012,Europe,EUR,2.94,0.23
Toys,1827,661023,611023,51,277.15,798.9,2460,116,2023-04-21 02:00:00,2023-05-22 02:00:00,43273.21,518315,175170,65,85,-32,901,2023-06-19 02:00:00,76495,Retail,864890,Asia,JPY,19.39,9.15
Clothing,5748,297430,328538,9,487.91,880.01,746,200,2023-04-21 03:00:00,2023-05-22 03:00:00,27656.48,867807,659187,94,42,21,838,2023-06-19 03:00:00,39257,Wholesale,270104,Africa,GBP,18.97,5.09
Toys,3333,198525,630933,74,30.93,331.92,4146,169,2023-04-21 04:00:00,2023-05-22 04:00:00,47114.08,354635,642194,66,33,49,374,2023-06-19 04:00:00,11875,Retail,884135,North America,JPY,25.37,1.7
Toys,5946,926080,479523,10,768.07,438.52,931,419,2023-04-21 05:00:00,2023-05-22 05:00:00,11292.75,115115,635081,58,93,28,422,2023-06-19 05:00:00,35950,Retail,699064,Africa,EUR,16.76,8.68
Electronics,9302,312151,409778,52,204.95,338.5,1066,461,2023-04-21 06:00:00,2023-05-22 06:00:00,44357.41,454407,896251,15,60,-47,192,2023-06-19 06:00:00,59939,Retail,946357,North America,EUR,4.5,10.84
Toys,9046,584715,252504,45,867.95,868.05,980,456,2023-04-21 07:00:00,2023-05-22 07:00:00,16158.46,870715,624232,64,31,-26,526,2023-06-19 07:00:00,37510,Retail,236098,North America,GBP,23.05,2.06
Food,9984,398800,575610,52,32.04,365.42,4853,337,2023-04-21 08:00:00,2023-05-22 08:00:00,2495.26,312395,388159,11,67,0,142,2023-06-19 08:00:00,58357,Wholesale,484044,Europe,JPY,3.04,9.54
Food,8181,785025,566985,30,536.81,109.5,1034,156,2023-04-21 09:00:00,2023-05-22 09:00:00,39567.29,698484,125647,15,88,9,919,2023-06-19 09:00:00,76106,Wholesale,520333,North America,GBP,17.77,3.16
Electronics,4414,768859,798971,64,778.88,229.21,4771,229,2023-04-21 10:00:00,2023-05-22 10:00:00,46570.86,481743,584812,90,29,-14,350,2023-06-19 10:00:00,34260,Distributor,146338,Asia,USD,40.85,11.21
Clothing,7457,962320,661048,97,245.57,385.21,968,204,2023-04-21 11:00:00,2023-05-22 11:00:00,11622.34,136273,314881,39,32,-25,730,2023-06-19 11:00:00,29657,Distributor,304553,Africa,GBP,45.96,9.41
Clothing,7749,875348,849337,2,710.48,544.68,4458,181,2023-04-21 12:00:00,2023-05-22 12:00:00,27170.19,251792,628024,64,68,22,357,2023-06-19 12:00:00,76942,Retail,755471,Asia,JPY,19.89,12.76
Toys,1296,119654,652521,49,723.66,558.19,3074,149,2023-04-21 13:00:00,2023-05-22 13:00:00,37717.99,363434,116586,20,96,-7,187,2023-06-19 13:00:00,32769,Retail,635484,Africa,USD,15.07,6.34
Toys,1568,831013,530807,96,641.47,684.11,4747,396,2023-04-21 14:00:00,2023-05-22 14:00:00,17249.56,698984,629663,34,59,4,694,2023-06-19 14:00:00,13544,Distributor,726382,North America,GBP,25.14,4.38
Toys,6283,754405,857181,45,370.61,584.84,2828,445,2023-04-21 15:00:00,2023-05-22 15:00:00,8199.0,667394,789687,44,41,-1,756,2023-06-19 15:00:00,13360,Wholesale,483352,North America,JPY,14.34,6.98
Clothing,8664,186613,298876,17,787.21,444.92,2121,431,2023-04-21 16:00:00,2023-05-22 16:00:00,20220.06,124355,241763,82,61,-20,476,2023-06-19 16:00:00,15069,Wholesale,285108,North America,EUR,6.22,14.42
Furniture,8511,615470,869670,28,632.15,32.0,3495,244,2023-04-21 17:00:00,2023-05-22 17:00:00,23371.93,123024,234946,98,83,19,190,2023-06-19 17:00:00,67278,Retail,407794,Asia,USD,49.23,12.14
Food,6465,562745,412235,45,594.48,627.05,2470,305,2023-04-21 18:00:00,2023-05-22 18:00:00,37368.83,672572,442209,17,68,-26,691,2023-06-19 18:00:00,16967,Wholesale,841436,Africa,JPY,12.51,12.35
Furniture,9263,643270,235510,17,820.97,81.48,930,493,2023-04-21 19:00:00,2023-05-22 19:00:00,10735.51,845511,478077,76,92,9,373,2023-06-19 19:00:00,92899,Wholesale,735348,Africa,EUR,18.49,10.45
Furniture,5382,462114,865165,59,252.19,424.59,4593,189,2023-04-21 20:00:00,2023-05-22 20:00:00,40940.5,759344,424263,99,66,-45,792,2023-06-19 20:00:00,85468,Retail,435012,North America,USD,16.4,5.79
Clothing,1065,181848,466746,14,240.16,807.27,4163,470,2023-04-21 21:00:00,2023-05-22 21:00:00,25606.78,647620,248677,95,40,-32,182,2023-06-19 21:00:00,12360,Distributor,540117,Asia,USD,0.56,6.76
Furniture,1879,996009,447049,10,392.58,539.21,4915,269,2023-04-21 22:00:00,2023-05-22 22:00:00,45290.64,117072,679305,33,63,-46,652,2023-06-19 22:00:00,71794,Wholesale,773799,North America,JPY,30.8,1.12
Electronics,9259,179874,276968,98,82.4,183.07,3742,337,2023-04-21 23:00:00,2023-05-22 23:00:00,28723.51,995047,205072,30,93,18,851,2023-06-19 23:00:00,58475,Distributor,378544,North America,GBP,24.96,8.48
Toys,8222,392317,454283,78,344.02,728.12,2618,499,2023-04-22 00:00:00,2023-05-23 00:00:00,22895.87,566612,602534,25,13,8,325,2023-06-20 00:00:00,39635,Retail,438203,North America,JPY,46.32,2.62
Electronics,6069,137525,635607,81,412.21,273.87,1611,265,2023-04-22 01:00:00,2023-05-23 01:00:00,15052.89,466955,322259,55,29,3,920,2023-06-20 01:00:00,98561,Wholesale,415834,Asia,EUR,32.93,4.98
Food,4239,127328,966690,86,500.11,521.66,4565,241,2023-04-22 02:00:00,2023-05-23 02:00:00,6205.88,926990,531914,45,82,-46,910,2023-06-20 02:00:00,67418,Wholesale,961227,North America,JPY,18.85,7.42
Toys,1507,242432,465437,18,261.47,574.08,4652,496,2023-04-22 03:00:00,2023-05-23 03:00:00,19213.46,693732,789875,19,53,-2,136,2023-06-20 03:00:00,97729,Distributor,622346,Africa,GBP,17.16,9.1
Furniture,8704,216242,499244,35,907.77,659.35,2714,286,2023-04-22 04:00:00,2023-05-23 04:00:00,21267.54,719414,858660,75,35,-31,130,2023-06-20 04:00:00,68522,Distributor,249255,Asia,EUR,4.67,0.76
Food,2125,466563,623973,48,292.23,63.16,1296,254,2023-04-22 05:00:00,2023-05-23 05:00:00,28846.06,340693,166967,26,28,3,759,2023-06-20 05:00:00,93516,Retail,668458,Asia,USD,20.51,2.15
Toys,1885,596957,736218,58,853.04,769.57,3807,363,2023-04-22 06:00:00,2023-05-23 06:00:00,43132.71,615721,524406,84,48,26,682,2023-06-20 06:00:00,59924,Distributor,709018,Europe,EUR,46.88,12.8
Furniture,3841,646913,734917,18,450.5,106.9,3469,186,2023-04-22 07:00:00,2023-05-23 07:00:00,23726.93,458382,454632,82,28,22,560,2023-06-20 07:00:00,10464,Retail,114606,North America,EUR,23.09,12.89
Electronics,8975,207576,125940,52,720.98,89.61,1921,332,2023-04-22 08:00:00,2023-05-23 08:00:00,16399.94,282574,696478,66,56,27,719,2023-06-20 08:00:00,87667,Wholesale,631227,Africa,EUR,35.49,0.78
Toys,7565,275966,354802,30,119.79,413.91,4602,408,2023-04-22 09:00:00,2023-05-23 09:00:00,43789.67,998126,555671,19,83,-38,150,2023-06-20 09:00:00,91762,Retail,967777,Europe,EUR,24.26,1.11
Furniture,7083,852746,852344,37,549.19,338.1,2245,302,2023-04-22 10:00:00,2023-05-23 10:00:00,36961.98,529775,478649,84,45,46,137,2023-06-20 10:00:00,74220,Wholesale,529012,Europe,JPY,22.83,4.82
Electronics,5870,116471,413795,40,961.22,53.88,4574,232,2023-04-22 11:00:00,2023-05-23 11:00:00,16044.45,714298,490873,88,97,-3,554,2023-06-20 11:00:00,20192,Distributor,870772,Africa,EUR,9.88,6.45
Food,3525,402027,353380,6,669.59,153.57,3005,232,2023-04-22 12:00:00,2023-05-23 12:00:00,9180.34,234175,526321,75,46,36,942,2023-06-20 12:00:00,11876,Wholesale,452218,North America,JPY,0.6,10.81
Food,5215,848172,798801,79,822.09,398.1,737,437,2023-04-22 13:00:00,2023-05-23 13:00:00,15260.34,234375,170563,26,45,43,336,2023-06-20 13:00:00,12179,Retail,428943,Africa,EUR,13.52,13.42
Food,2938,889135,120688,35,268.46,747.02,2998,403,2023-04-22 14:00:00,2023-05-23 14:00:00,7058.24,964434,194480,84,92,12,783,2023-06-20 14:00:00,22882,Distributor,677137,Asia,GBP,39.29,1.54
Food,4232,307759,638760,26,802.17,113.57,948,346,2023-04-22 15:00:00,2023-05-23 15:00:00,45267.4,317964,964243,41,60,31,149,2023-06-20 15:00:00,10356,Retail,451886,Africa,GBP,5.31,8.73
Clothing,4744,282642,180436,91,357.74,98.55,3729,349,2023-04-22 16:00:00,2023-05-23 16:00:00,30974.62,162637,425886,78,97,31,958,2023-06-20 16:00:00,26898,Retail,817942,Asia,USD,49.72,4.25
Toys,7221,585750,659959,30,490.23,725.32,1504,342,2023-04-22 17:00:00,2023-05-23 17:00:00,43312.11,359106,392357,27,23,-8,747,2023-06-20 17:00:00,82518,Retail,400699,Africa,USD,35.63,0.58
Toys,4465,300755,291881,75,196.08,445.62,1138,379,2023-04-22 18:00:00,2023-05-23 18:00:00,41197.68,729732,617153,55,47,49,409,2023-06-20 18:00:00,71010,Retail,672256,Asia,USD,6.13,2.96
Clothing,1440,951956,435443,24,490.84,327.42,2750,300,2023-04-22 19:00:00,2023-05-23 19:00:00,8508.54,211703,668628,55,88,27,907,2023-06-20 19:00:00,72436,Wholesale,912806,North America,GBP,26.85,10.56
Furniture,1461,829128,373104,55,520.54,417.91,3129,305,2023-04-22 20:00:00,2023-05-23 20:00:00,22707.06,452158,708862,11,62,-39,658,2023-06-20 20:00:00,83968,Retail,449689,Asia,EUR,47.2,13.19
Furniture,9803,639439,307692,78,626.1,372.71,3407,397,2023-04-22 21:00:00,2023-05-23 21:00:00,48631.11,349458,754500,36,68,-12,615,2023-06-20 21:00:00,99598,Retail,442202,Asia,EUR,5.87,3.28
Food,6413,569082,748406,87,869.95,704.8,4715,236,2023-04-22 22:00:00,2023-05-23 22:00:00,12455.92,464322,233779,17,20,40,819,2023-06-20 22:00:00,69871,Wholesale,873599,North America,GBP,0.21,1.33
Electronics,6755,149190,495290,9,311.8,13.35,2058,296,2023-04-22 23:00:00,2023-05-23 23:00:00,3461.71,577647,866905,37,88,6,915,2023-06-20 23:00:00,13742,Retail,775883,Africa,JPY,7.1,8.83
Furniture,6012,570028,304433,62,984.3,392.68,3171,477,2023-04-23 00:00:00,2023-05-24 00:00:00,17954.5,890119,541846,65,31,42,541,2023-06-21 00:00:00,82462,Distributor,184034,Africa,JPY,17.48,2.14
Electronics,4163,680483,396977,18,849.21,147.17,3460,190,2023-04-23 01:00:00,2023-05-24 01:00:00,26036.34,225629,686955,58,13,20,425,2023-06-21 01:00:00,59258,Distributor,109724,Europe,GBP,13.79,8.44
Toys,7752,950540,846101,51,408.89,280.92,2727,494,2023-04-23 02:00:00,2023-05-24 02:00:00,3737.99,481091,504666,78,66,28,723,2023-06-21 02:00:00,69311,Retail,641826,Asia,USD,10.25,2.38
Electronics,1005,773895,135976,19,234.4,105.39,1452,319,2023-04-23 03:00:00,2023-05-24 03:00:00,21907.01,425819,917802,36,97,32,171,2023-06-21 03:00:00,52165,Wholesale,296303,Africa,USD,49.79,5.48
Toys,5776,464385,825570,69,80.78,387.15,2035,236,2023-04-23 04:00:00,2023-05-24 04:00:00,13417.22,790500,404733,98,35,-42,712,2023-06-21 04:00:00,94537,Wholesale,324084,Africa,EUR,32.23,5.37
Clothing,8038,991622,338470,82,242.02,580.75,992,432,2023-04-23 05:00:00,2023-05-24 05:00:00,11393.78,665358,675601,36,14,33,308,2023-06-21 05:00:00,64352,Retail,501736,Europe,JPY,9.03,2.4
Clothing,7414,405194,606830,33,885.68,597.13,2116,160,2023-04-23 06:00:00,2023-05-24 06:00:00,13931.45,341604,163015,21,72,11,640,2023-06-21 06:00:00,28798,Wholesale,228349,Asia,JPY,3.76,13.16
Food,6739,395120,207549,38,299.11,718.09,3490,438,2023-04-23 07:00:00,2023-05-24 07:00:00,6164.54,618831,647533,13,66,-29,802,2023-06-21 07:00:00,97775,Distributor,687315,Asia,JPY,17.96,11.77
Furniture,4970,100599,230120,13,146.6,734.44,3898,171,2023-04-23 08:00:00,2023-05-24 08:00:00,4755.74,171077,210391,61,21,-15,169,2023-06-21 08:00:00,55502,Retail,155674,North America,GBP,23.22,0.31
Food,3606,551164,165658,49,32.45,539.97,2944,410,2023-04-23 09:00:00,2023-05-24 09:00:00,30196.43,922454,803252,66,61,45,704,2023-06-21 09:00:00,91515,Wholesale,987407,North America,EUR,34.59,6.85
Toys,1098,359757,674396,73,304.7,321.07,4083,463,2023-04-23 10:00:00,2023-05-24 10:00:00,47443.71,999679,594591,43,11,-48,136,2023-06-21 10:00:00,33660,Distributor,347708,Europe,JPY,31.89,8.34
Food,1525,946299,252552,90,223.99,50.93,1289,380,2023-04-23 11:00:00,2023-05-24 11:00:00,40432.26,523934,325891,59,47,31,345,2023-06-21 11:00:00,40226,Retail,854997,Europe,JPY,19.41,12.58
Electronics,7337,365853,412282,53,111.18,37.1,1629,226,2023-04-23 12:00:00,2023-05-24 12:00:00,41861.03,961031,237924,33,66,-35,754,2023-06-21 12:00:00,92271,Distributor,518381,North America,JPY,33.56,2.21
Toys,2180,356108,109443,1,951.57,106.37,4463,298,2023-04-23 13:00:00,2023-05-24 13:00:00,37019.0,340906,104589,45,48,-48,230,2023-06-21 13:00:00,40067,Retail,638936,North America,EUR,20.24,3.85
Clothing,9067,411509,956401,12,274.95,885.53,2881,411,2023-04-23 14:00:00,2023-05-24 14:00:00,47843.16,940522,790498,62,39,25,174,2023-06-21 14:00:00,32457,Retail,172050,Europe,GBP,23.13,8.81
Furniture,5491,367867,756350,24,16.12,708.45,1897,382,2023-04-23 15:00:00,2023-05-24 15:00:00,47576.97,501898,395327,26,37,37,672,2023-06-21 15:00:00,98500,Retail,109756,Africa,GBP,7.41,8.58
Toys,6922,998740,618416,1,944.83,367.36,4046,342,2023-04-23 16:00:00,2023-05-24 16:00:00,39136.85,923984,738811,41,52,7,392,2023-06-21 16:00:00,70526,Wholesale,504047,North America,EUR,5.09,3.43
Toys,4071,548920,353685,68,582.73,422.25,2999,250,2023-04-23 17:00:00,2023-05-24 17:00:00,36081.37,275067,669347,63,78,24,415,2023-06-21 17:00:00,25752,Wholesale,675609,Africa,JPY,22.86,6.21
Electronics,6641,601288,564308,7,91.98,664.96,4779,139,2023-04-23 18:00:00,2023-05-24 18:00:00,15958.7,734398,156179,69,50,-28,753,2023-06-21 18:00:00,44697,Distributor,445109,North America,GBP,43.03,14.47
Furniture,8381,782754,978630,92,41.11,465.39,3659,470,2023-04-23 19:00:00,2023-05-24 19:00:00,5467.15,880583,956550,64,36,-18,345,2023-06-21 19:00:00,11630,Retail,827873,North America,USD,34.75,10.56
Clothing,3792,426264,423480,69,116.77,327.57,4767,157,2023-04-23 20:00:00,2023-05-24 20:00:00,5550.53,340221,730169,71,81,17,119,2023-06-21 20:00:00,60275,Retail,575880,Asia,USD,41.7,12.47
Toys,5778,372460,352585,39,595.58,317.86,2925,135,2023-04-23 21:00:00,2023-05-24 21:00:00,37076.79,519155,923929,68,50,10,405,2023-06-21 21:00:00,28966,Distributor,274467,Asia,GBP,14.99,3.01
Toys,1014,780204,391241,32,71.25,192.63,2724,352,2023-04-23 22:00:00,2023-05-24 22:00:00,2390.32,938938,779710,85,42,-37,372,2023-06-21 22:00:00,38265,Wholesale,480856,North America,GBP,37.05,13.93
Electronics,3415,544776,825605,49,572.46,797.62,2583,301,2023-04-23 23:00:00,2023-05-24 23:00:00,41004.05,891985,906217,15,23,-13,486,2023-06-21 23:00:00,88668,Retail,964982,Asia,USD,18.44,8.05
Food,3685,206276,512402,31,656.02,375.67,1976,338,2023-04-24 00:00:00,2023-05-25 00:00:00,18957.35,108545,331115,41,53,22,708,2023-06-22 00:00:00,69607,Retail,644791,Asia,USD,19.21,13.61
Clothing,9159,907594,413500,79,156.1,678.36,724,483,2023-04-24 01:00:00,2023-05-25 01:00:00,10411.95,265922,414556,11,28,47,794,2023-06-22 01:00:00,98858,Distributor,712290,Asia,GBP,19.71,13.15
Furniture,8926,915265,971176,3,493.55,518.52,2540,267,2023-04-24 02:00:00,2023-05-25 02:00:00,20971.84,180810,319280,25,26,2,262,2023-06-22 02:00:00,31023,Distributor,489899,Africa,USD,1.08,11.07
Toys,5100,358512,868256,47,964.24,679.91,3477,210,2023-04-24 03:00:00,2023-05-25 03:00:00,35460.34,529557,846486,64,85,10,139,2023-06-22 03:00:00,26794,Retail,387580,North America,EUR,26.37,3.22
Toys,7374,676035,188015,15,838.12,292.21,1816,312,2023-04-24 04:00:00,2023-05-25 04:00:00,14480.42,673619,701140,77,80,-18,751,2023-06-22 04:00:00,67101,Retail,389516,Europe,GBP,15.76,1.17
Clothing,7004,190037,884229,51,726.13,678.05,4044,266,2023-04-24 05:00:00,2023-05-25 05:00:00,9507.3,934436,315981,37,72,32,773,2023-06-22 05:00:00,59072,Wholesale,952148,Europe,USD,14.9,13.08
